Type,Name,Category,Location,Price_Range_INR,Entry_Fee_INR,Best_Time_Duration,Operating_Hours,Specialty_Description,Rating,Contact,Payment_Methods
Shopping_Spot,Janpath Market,Market,Central Delhi,200-1200,Free entry,Daily,10AM-7:30PM,Handicrafts jewelry clothes,4.0,N/A,Cash UPI
Shopping_Spot,Palika Bazaar,Underground Market,Connaught Place,150-800,Free entry,Daily,10AM-8PM,Electronics accessories,3.8,N/A,Cash UPI
Restaurant,Karim's,Mughlai,Old Delhi,300-500,N/A,Daily,All day,Mutton Korma Kebabs,4.2,011-2326-9880,Cash UPI
Restaurant,Paranthe Wali Gali,North Indian,Chandni Chowk,100-200,N/A,Daily,Morning-Evening,Stuffed Parathas,4.0,Street Vendor,Cash
Restaurant,Al Jawahar,Mughlai,Old Delhi,200-400,N/A,Daily,All day,Biryani Tandoor,4.1,011-2327-3775,Cash Card
Restaurant,Bukhara,North Indian,Maurya Sheraton,3000-5000,N/A,Daily,Dinner only,Dal Bukhara Tandoor,4.5,011-2611-2233,Card Cash UPI
Restaurant,Indian Accent,Modern Indian,Manor Hotel,2500-4000,N/A,Daily,Lunch Dinner,Contemporary Indian,4.4,011-4323-5151,Card Cash UPI
Restaurant,Saravana Bhavan,South Indian,Multiple locations,200-400,N/A,Daily,All day,Dosa South Indian thali,4.2,011-4175-7755,Card Cash UPI
Restaurant,Haldiram's,Vegetarian/Sweets,Multiple locations,150-300,N/A,Daily,All day,Chaat Sweets,4.0,Multiple,Card Cash UPI
Restaurant,Cafe Lota,Indian Fusion,Pragati Maidan,400-700,N/A,Daily,All day,Regional Indian dishes,4.3,011-2337-8945,Card Cash UPI
Restaurant,Gulati,North Indian,Pandara Road,400-800,N/A,Daily,All day,Butter Chicken Dal,4.2,011-2338-7433,Card Cash UPI
Restaurant,Chor Bizarre,Kashmiri/Continental,Bikaner House,800-1500,N/A,Daily,Lunch Dinner,Kashmiri Wazwan,4.1,011-2379-3821,Card Cash UPI
Hotel,The Imperial,Luxury,Connaught Place,15000-25000,N/A,Daily,24 hours check-in,Spa Pool Multiple restaurants,4.6,011-2334-1234,Card Cash UPI
Hotel,The Oberoi,Luxury,Golf Links,20000-35000,N/A,Daily,24 hours check-in,Spa Pool Butler service,4.7,011-2436-3030,Card Cash UPI
Hotel,Taj Palace,Luxury,Diplomatic Enclave,12000-22000,N/A,Daily,24 hours check-in,Spa Pool Business center,4.5,011-2611-0202,Card Cash UPI
Hotel,The Leela Palace,Luxury,Chanakyapuri,18000-30000,N/A,Daily,24 hours check-in,Spa Pool Fine dining,4.6,011-3933-1234,Card Cash UPI
Hotel,Radisson Blu,Business,Paschim Vihar,6000-12000,N/A,Daily,24 hours check-in,Pool Business center,4.3,011-4655-1234,Card Cash UPI
Hotel,Crowne Plaza,Business,Okhla,5000-10000,N/A,Daily,24 hours check-in,Pool Gym Business center,4.2,011-4277-1200,Card Cash UPI
Hotel,Hotel Shanti Palace,Mid-range,Karol Bagh,3000-6000,N/A,Daily,24 hours check-in,Restaurant Room service,4.1,011-4577-7777,Card Cash UPI
Hotel,The Metropolitan,Mid-range,Connaught Place,4000-8000,N/A,Daily,24 hours check-in,Restaurant Business center,4.2,011-4358-3000,Card Cash UPI
Hotel,Bloom Hotel,Budget,Karolbagh,2000-4000,N/A,Daily,24 hours check-in,Restaurant WiFi,4.0,011-4050-3333,Card Cash UPI
Hotel,Hotel Tara Palace,Budget,Chandni Chowk,1500-3000,N/A,Daily,24 hours check-in,Restaurant AC rooms,3.9,011-2327-5919,Cash UPI
Hotel,Zostel Delhi,Hostel,Multiple locations,800-1500,N/A,Daily,24 hours check-in,Shared/Private rooms Common area,4.1,9540-222-222,Card Cash UPI
Hotel,Backpacker Panda,Hostel,Paharganj,600-1200,N/A,Daily,24 hours check-in,Dorms Common kitchen,4.0,011-4358-7777,Cash UPI
